    S:oredict.blockDustAbyssalOat.name=Блок овса (Abyssal)
    S:oredict.blockDustAbyssalnite.name=Блок пыли (Abyssalnite)
    S:oredict.blockDustAcacia.name=Блок опилок (Acacia)
    S:oredict.blockDustActinium.name=Блок пыли (Actinium)
    S:oredict.blockDustAdamantine.name=Блок пыли (Adamantine)
    S:oredict.blockDustAdamantite.name=Блок пыли (Adamantite)
    S:oredict.blockDustAdamantium.name=Блок пыли (Adamantium)
    S:oredict.blockDustAerotheum.name=Блок пыли (Aerotheum)
    S:oredict.blockDustAlder.name=Блок опилок (Alder)
    S:oredict.blockDustAlduorite.name=Блок пыли (Alduorite)
    S:oredict.blockDustAlexandrite.name=Блок пыли (Alexandrite)
    S:oredict.blockDustAlmandine.name=Блок пыли (Almandine)
    S:oredict.blockDustAlmond.name=Блок молотого миндаля
    S:oredict.blockDustAlumina.name=Блок пыли (Alumina)
    S:oredict.blockDustAluminium.name=Блок пыли (Aluminium)
    S:oredict.blockDustAluminiumAlloy.name=Блок пыли (Aluminium Alloy)
    S:oredict.blockDustAluminiumBrass.name=Блок пыли (Aluminium Brass)
    S:oredict.blockDustAluminiumFluoride.name=Блок пыли (Aluminium Fluoride)
    S:oredict.blockDustAluminiumHydroxide.name=Блок пыли (Aluminium Hydroxide)
    S:oredict.blockDustAlumite.name=Блок пыли (Alumite)
    S:oredict.blockDustAlunite.name=Блок пыли (Alunite)
    S:oredict.blockDustAmazonite.name=Блок пыли (Amazonite)
    S:oredict.blockDustAmber.name=Блок пыли (Amber)
    S:oredict.blockDustAmbrosium.name=Блок пыли (Ambrosium)
    S:oredict.blockDustAmericium.name=Блок пыли (Americium)
    S:oredict.blockDustAmericium241.name=Блок пыли (Americium-241)
    S:oredict.blockDustAmericium242.name=Блок пыли (Americium-242)
    S:oredict.blockDustAmethyst.name=Блок пыли (Amethyst)
    S:oredict.blockDustAmethystEnder.name=Блок пыли (Ender Amethyst)
    S:oredict.blockDustAmordrine.name=Блок пыли (Amordrine)
    S:oredict.blockDustAncientDebris.name=Блок порошка (Незерит)
    S:oredict.blockDustAndesite.name=Блок пыли (Andesite)
    S:oredict.blockDustAndradite.name=Блок пыли (Andradite)
    S:oredict.blockDustAngmallen.name=Блок пыли (Angmallen)
    S:oredict.blockDustAnthracite.name=Блок пыли (Anthracite)
    S:oredict.blockDustAntiActinium.name=Блок пыли (Anti-Actinium)
    S:oredict.blockDustAntiAdamantium.name=Блок пыли (Anti-Adamantium)
