    S:oredict.crateGt64DustAbyssalOat.name=Ящик абиссального овса
    S:oredict.crateGt64DustAbyssalnite.name=Ящик пыли (Abyssalnite)
    S:oredict.crateGt64DustAcacia.name=Ящик опилок (Acacia)
    S:oredict.crateGt64DustActinium.name=Ящик пыли (Actinium)
    S:oredict.crateGt64DustAdamantine.name=Ящик пыли (Adamantine)
    S:oredict.crateGt64DustAdamantite.name=Ящик пыли (Adamantite)
    S:oredict.crateGt64DustAdamantium.name=Ящик пыли (Adamantium)
    S:oredict.crateGt64DustAerotheum.name=Ящик пыли (Aerotheum)
    S:oredict.crateGt64DustAlder.name=Ящик опилок (Alder)
    S:oredict.crateGt64DustAlduorite.name=Ящик пыли (Alduorite)
    S:oredict.crateGt64DustAlexandrite.name=Ящик пыли (Alexandrite)
    S:oredict.crateGt64DustAlmandine.name=Ящик пыли (Almandine)
    S:oredict.crateGt64DustAlmond.name=Ящик молотого миндаля
    S:oredict.crateGt64DustAlumina.name=Ящик пыли (Alumina)
    S:oredict.crateGt64DustAluminium.name=Ящик пыли (Aluminium)
    S:oredict.crateGt64DustAluminiumAlloy.name=Ящик пыли (Aluminium Alloy)
    S:oredict.crateGt64DustAluminiumBrass.name=Ящик пыли (Aluminium Brass)
    S:oredict.crateGt64DustAluminiumFluoride.name=Ящик пыли (Aluminium Fluoride)
    S:oredict.crateGt64DustAluminiumHydroxide.name=Ящик пыли (Aluminium Hydroxide)
    S:oredict.crateGt64DustAlumite.name=Ящик пыли (Alumite)
    S:oredict.crateGt64DustAlunite.name=Ящик пыли (Alunite)
    S:oredict.crateGt64DustAmazonite.name=Ящик пыли (Amazonite)
    S:oredict.crateGt64DustAmber.name=Ящик пыли (Amber)
    S:oredict.crateGt64DustAmbrosium.name=Ящик пыли (Ambrosium)
    S:oredict.crateGt64DustAmericium.name=Ящик пыли (Americium)
    S:oredict.crateGt64DustAmericium241.name=Ящик пыли (Americium-241)
    S:oredict.crateGt64DustAmericium242.name=Ящик пыли (Americium-242)
    S:oredict.crateGt64DustAmethyst.name=Ящик пыли (Amethyst)
    S:oredict.crateGt64DustAmethystEnder.name=Ящик пыли (Ender Amethyst)
    S:oredict.crateGt64DustAmordrine.name=Ящик пыли (Amordrine)
    S:oredict.crateGt64DustAncientDebris.name=Ящик пыли (Netherite Scrap)
    S:oredict.crateGt64DustAndesite.name=Ящик пыли (Andesite)
    S:oredict.crateGt64DustAndradite.name=Ящик пыли (Andradite)
    S:oredict.crateGt64DustAngmallen.name=Ящик пыли (Angmallen)
    S:oredict.crateGt64DustAnthracite.name=Ящик пыли (Anthracite)
    S:oredict.crateGt64DustAntiActinium.name=Ящик пыли (Anti-Actinium)
    S:oredict.crateGt64DustAntiAdamantium.name=Ящик пыли (Anti-Adamantium)
    S:oredict.crateGt64DustAntiAluminium.name=Ящик пыли (Anti-Aluminium)
    S:oredict.crateGt64DustAntiAmericium.name=Ящик пыли (Anti-Americium)
    S:oredict.crateGt64DustAntiAmericium241.name=Ящик пыли (Anti-Americium-241)
    S:oredict.crateGt64DustAntiAntimony.name=Ящик пыли (Anti-Antimony)
    S:oredict.crateGt64DustAntiArsenic.name=Ящик пыли (Anti-Arsenic)
    S:oredict.crateGt64DustAntiAstatine.name=Ящик пыли (Anti-Astatine)
    S:oredict.crateGt64DustAntiBarium.name=Ящик пыли (Anti-Barium)
    S:oredict.crateGt64DustAntiBerkelium.name=Ящик пыли (Anti-Berkelium)
