    S:oredict.plateAbyssalnite.name=Пластина (Abyssalnite)
    S:oredict.plateActinium.name=Пластина (Actinium)
    S:oredict.plateAdamantine.name=Пластина (Adamantine)
    S:oredict.plateAdamantite.name=Пластина (Adamantite)
    S:oredict.plateAdamantium.name=Пластина (Adamantium)
    S:oredict.plateAlduorite.name=Пластина (Alduorite)
    S:oredict.plateAluminium.name=Пластина (Aluminium)
    S:oredict.plateAluminiumAlloy.name=Пластина (Aluminium Alloy)
    S:oredict.plateAluminiumBrass.name=Пластина (Aluminium Brass)
    S:oredict.plateAlumite.name=Пластина (Alumite)
    S:oredict.plateAmericium.name=Пластина (Americium)
    S:oredict.plateAmericium241.name=Пластина (Americium-241)
    S:oredict.plateAmericium242.name=Пластина (Americium-242)
    S:oredict.plateAmordrine.name=Пластина (Amordrine)
    S:oredict.plateAncientDebris.name=Пластина (Ancient Debris)
    S:oredict.plateAndesite.name=Пластина (Andesite)
    S:oredict.plateAngmallen.name=Пластина (Angmallen)
    S:oredict.plateAnnealedCopper.name=Пластина (Annealed Copper)
    S:oredict.plateAnthracite.name=Пластина (Anthracite)
    S:oredict.plateAntiActinium.name=Пластина (Anti-Actinium)
    S:oredict.plateAntiAdamantium.name=Пластина (Anti-Adamantium)
    S:oredict.plateAntiAluminium.name=Пластина (Anti-Aluminium)
    S:oredict.plateAntiAmericium.name=Пластина (Anti-Americium)
    S:oredict.plateAntiAmericium241.name=Пластина (Anti-Americium-241)
    S:oredict.plateAntiAntimony.name=Пластина (Anti-Antimony)
    S:oredict.plateAntiArsenic.name=Пластина (Anti-Arsenic)
    S:oredict.plateAntiAstatine.name=Пластина (Anti-Astatine)
    S:oredict.plateAntiBarium.name=Пластина (Anti-Barium)
    S:oredict.plateAntiBerkelium.name=Пластина (Anti-Berkelium)
    S:oredict.plateAntiBeryllium.name=Пластина (Anti-Beryllium)
    S:oredict.plateAntiBismuth.name=Пластина (Anti-Bismuth)
    S:oredict.plateAntiBohrium.name=Пластина (Anti-Bohrium)
    S:oredict.plateAntiBoron.name=Пластина (Anti-Boron)
    S:oredict.plateAntiCadmium.name=Пластина (Anti-Cadmium)
    S:oredict.plateAntiCaesium.name=Пластина (Anti-Caesium)
    S:oredict.plateAntiCalifornium.name=Пластина (Anti-Californium)
    S:oredict.plateAntiCerium.name=Пластина (Anti-Cerium)
    S:oredict.plateAntiChromium.name=Пластина (Anti-Chromium)
    S:oredict.plateAntiCobalt.name=Пластина (Anti-Cobalt)
    S:oredict.plateAntiCobalt60.name=Пластина (Anti-Cobalt-60)
    S:oredict.plateAntiCopernicium.name=Пластина (Anti-Copernicium)
    S:oredict.plateAntiCopper.name=Пластина (Anti-Copper)
    S:oredict.plateAntiCurium.name=Пластина (Anti-Curium)
    S:oredict.plateAntiDarmstadtium.name=Пластина (Anti-Darmstadtium)
    S:oredict.plateAntiDubnium.name=Пластина (Anti-Dubnium)
    S:oredict.plateAntiDysprosium.name=Пластина (Anti-Dysprosium)
    S:oredict.plateAntiEinsteinium.name=Пластина (Anti-Einsteinium)
    S:oredict.plateAntiErbium.name=Пластина (Anti-Erbium)
    S:oredict.plateAntiEuropium.name=Пластина (Anti-Europium)
    S:oredict.plateAntiFarnsium.name=Пластина (Anti-Farnsium)
    S:oredict.plateAntiFermium.name=Пластина (Anti-Fermium)
    S:oredict.plateAntiFlerovium.name=Пластина (Anti-Flerovium)
    S:oredict.plateAntiFlerovium298.name=Пластина (Anti-Flerovium-298)
    S:oredict.plateAntiFrancium.name=Пластина (Anti-Francium)
    S:oredict.plateAntiGadolinium.name=Пластина (Anti-Gadolinium)
    S:oredict.plateAntiGallium.name=Пластина (Anti-Gallium)
    S:oredict.plateAntiGermanium.name=Пластина (Anti-Germanium)
    S:oredict.plateAntiGold.name=Пластина (Anti-Gold)
    S:oredict.plateAntiHafnium.name=Пластина (Anti-Hafnium)
    S:oredict.plateAntiHassium.name=Пластина (Anti-Hassium)
    S:oredict.plateAntiHolmium.name=Пластина (Anti-Holmium)
    S:oredict.plateAntiIndium.name=Пластина (Anti-Indium)
    S:oredict.plateAntiIridium.name=Пластина (Anti-Iridium)
    S:oredict.plateAntiIron.name=Пластина (Anti-Iron)
    S:oredict.plateAntiLanthanum.name=Пластина (Anti-Lanthanum)
    S:oredict.plateAntiLawrencium.name=Пластина (Anti-Lawrencium)
    S:oredict.plateAntiLead.name=Пластина (Anti-Lead)
    S:oredict.plateAntiLivermorium.name=Пластина (Anti-Livermorium)
    S:oredict.plateAntiLutetium.name=Пластина (Anti-Lutetium)
    S:oredict.plateAntiMagnesium.name=Пластина (Anti-Magnesium)
    S:oredict.plateAntiManganese.name=Пластина (Anti-Manganese)
    S:oredict.plateAntiMeitnerium.name=Пластина (Anti-Meitnerium)
    S:oredict.plateAntiMendelevium.name=Пластина (Anti-Mendelevium)
    S:oredict.plateAntiMercury.name=Пластина (Anti-Mercury)
    S:oredict.plateAntiMolybdenum.name=Пластина (Anti-Molybdenum)
    S:oredict.plateAntiNaquadah.name=Пластина (Anti-Naquadah)
    S:oredict.plateAntiNaquadahEnriched.name=Пластина (Enriched Anti-Naquadah)
    S:oredict.plateAntiNaquadria.name=Пластина (Anti-Naquadria)
    S:oredict.plateAntiNeodymium.name=Пластина (Anti-Neodymium)
    S:oredict.plateAntiNeptunium.name=Пластина (Anti-Neptunium)
    S:oredict.plateAntiNickel.name=Пластина (Anti-Nickel)
    S:oredict.plateAntiNiobium.name=Пластина (Anti-Niobium)
    S:oredict.plateAntiNobelium.name=Пластина (Anti-Nobelium)
    S:oredict.plateAntiOsmium.name=Пластина (Anti-Osmium)
    S:oredict.plateAntiPalladium.name=Пластина (Anti-Palladium)
    S:oredict.plateAntiPlatinum.name=Пластина (Anti-Platinum)
    S:oredict.plateAntiPlutonium.name=Пластина (Anti-Plutonium)
    S:oredict.plateAntiPlutonium241.name=Пластина (Anti-Plutonium-241)
    S:oredict.plateAntiPlutonium243.name=Пластина (Anti-Plutonium-243)
    S:oredict.plateAntiPolonium.name=Пластина (Anti-Polonium)
    S:oredict.plateAntiPraseodymium.name=Пластина (Anti-Praseodymium)
    S:oredict.plateAntiPromethium.name=Пластина (Anti-Promethium)
    S:oredict.plateAntiProtactinium.name=Пластина (Anti-Protactinium)
    S:oredict.plateAntiRadium.name=Пластина (Anti-Radium)
    S:oredict.plateAntiRhenium.name=Пластина (Anti-Rhenium)
    S:oredict.plateAntiRhodium.name=Пластина (Anti-Rhodium)
    S:oredict.plateAntiRoentgenium.name=Пластина (Anti-Roentgenium)
    S:oredict.plateAntiRubidium.name=Пластина (Anti-Rubidium)
    S:oredict.plateAntiRuthenium.name=Пластина (Anti-Ruthenium)
    S:oredict.plateAntiRutherfordium.name=Пластина (Anti-Rutherfordium)
    S:oredict.plateAntiSamarium.name=Пластина (Anti-Samarium)
    S:oredict.plateAntiScandium.name=Пластина (Anti-Scandium)
    S:oredict.plateAntiSeaborgium.name=Пластина (Anti-Seaborgium)
    S:oredict.plateAntiSilicon.name=Пластина (Anti-Silicon)
    S:oredict.plateAntiSilver.name=Пластина (Anti-Silver)
    S:oredict.plateAntiStrontium.name=Пластина (Anti-Strontium)
    S:oredict.plateAntiTantalum.name=Пластина (Anti-Tantalum)
    S:oredict.plateAntiTechnetium.name=Пластина (Anti-Technetium)
    S:oredict.plateAntiTellurium.name=Пластина (Anti-Tellurium)
    S:oredict.plateAntiTerbium.name=Пластина (Anti-Terbium)
