    S:oredict.screwAbyssalnite.name=Винтик (Abyssalnite)
    S:oredict.screwAcacia.name=Винтик (Acacia)
    S:oredict.screwActinium.name=Винтик (Actinium)
    S:oredict.screwAdamantine.name=Винтик (Adamantine)
    S:oredict.screwAdamantite.name=Винтик (Adamantite)
    S:oredict.screwAdamantium.name=Винтик (Adamantium)
    S:oredict.screwAlder.name=Винтик (Alder)
    S:oredict.screwAlduorite.name=Винтик (Alduorite)
    S:oredict.screwAlexandrite.name=Винтик (Alexandrite)
    S:oredict.screwAlmandine.name=Винтик (Almandine)
    S:oredict.screwAluminium.name=Винтик (Aluminium)
    S:oredict.screwAluminiumAlloy.name=Винтик (Aluminium Alloy)
    S:oredict.screwAluminiumBrass.name=Винтик (Aluminium Brass)
    S:oredict.screwAlumite.name=Винтик (Alumite)
    S:oredict.screwAmazonite.name=Винтик (Amazonite)
    S:oredict.screwAmber.name=Винтик (Amber)
    S:oredict.screwAmbrosium.name=Винтик (Ambrosium)
    S:oredict.screwAmericium.name=Винтик (Americium)
    S:oredict.screwAmericium241.name=Винтик (Americium-241)
    S:oredict.screwAmericium242.name=Винтик (Americium-242)
    S:oredict.screwAmethyst.name=Винтик (Amethyst)
    S:oredict.screwAmethystEnder.name=Винтик (Ender Amethyst)
    S:oredict.screwAmordrine.name=Винтик (Amordrine)
    S:oredict.screwAncientDebris.name=Винтик (Ancient Debris)
    S:oredict.screwAndesite.name=Винтик (Andesite)
    S:oredict.screwAndradite.name=Винтик (Andradite)
    S:oredict.screwAngmallen.name=Винтик (Angmallen)
    S:oredict.screwAnnealedCopper.name=Винтик (Annealed Copper)
    S:oredict.screwAnthracite.name=Винтик (Anthracite)
    S:oredict.screwAntiActinium.name=Винтик (Anti-Actinium)
    S:oredict.screwAntiAdamantium.name=Винтик (Anti-Adamantium)
    S:oredict.screwAntiAluminium.name=Винтик (Anti-Aluminium)
    S:oredict.screwAntiAmericium.name=Винтик (Anti-Americium)
    S:oredict.screwAntiAmericium241.name=Винтик (Anti-Americium-241)
    S:oredict.screwAntiAntimony.name=Винтик (Anti-Antimony)
    S:oredict.screwAntiArsenic.name=Винтик (Anti-Arsenic)
    S:oredict.screwAntiAstatine.name=Винтик (Anti-Astatine)
    S:oredict.screwAntiBarium.name=Винтик (Anti-Barium)
    S:oredict.screwAntiBerkelium.name=Винтик (Anti-Berkelium)
    S:oredict.screwAntiBeryllium.name=Винтик (Anti-Beryllium)
    S:oredict.screwAntiBismuth.name=Винтик (Anti-Bismuth)
    S:oredict.screwAntiBohrium.name=Винтик (Anti-Bohrium)
    S:oredict.screwAntiBoron.name=Винтик (Anti-Boron)
    S:oredict.screwAntiCadmium.name=Винтик (Anti-Cadmium)
    S:oredict.screwAntiCaesium.name=Винтик (Anti-Caesium)
    S:oredict.screwAntiCalifornium.name=Винтик (Anti-Californium)
    S:oredict.screwAntiCerium.name=Винтик (Anti-Cerium)
    S:oredict.screwAntiChromium.name=Винтик (Anti-Chromium)
    S:oredict.screwAntiCobalt.name=Винтик (Anti-Cobalt)
    S:oredict.screwAntiCobalt60.name=Винтик (Anti-Cobalt-60)
    S:oredict.screwAntiCopernicium.name=Винтик (Anti-Copernicium)
    S:oredict.screwAntiCopper.name=Винтик (Anti-Copper)
    S:oredict.screwAntiCurium.name=Винтик (Anti-Curium)
    S:oredict.screwAntiDarmstadtium.name=Винтик (Anti-Darmstadtium)
    S:oredict.screwAntiDubnium.name=Винтик (Anti-Dubnium)
    S:oredict.screwAntiDysprosium.name=Винтик (Anti-Dysprosium)
    S:oredict.screwAntiEinsteinium.name=Винтик (Anti-Einsteinium)
    S:oredict.screwAntiErbium.name=Винтик (Anti-Erbium)
    S:oredict.screwAntiEuropium.name=Винтик (Anti-Europium)
    S:oredict.screwAntiFarnsium.name=Винтик (Anti-Farnsium)
    S:oredict.screwAntiFermium.name=Винтик (Anti-Fermium)
    S:oredict.screwAntiFlerovium.name=Винтик (Anti-Flerovium)
    S:oredict.screwAntiFlerovium298.name=Винтик (Anti-Flerovium-298)
    S:oredict.screwAntiFrancium.name=Винтик (Anti-Francium)
    S:oredict.screwAntiGadolinium.name=Винтик (Anti-Gadolinium)
    S:oredict.screwAntiGallium.name=Винтик (Anti-Gallium)
    S:oredict.screwAntiGermanium.name=Винтик (Anti-Germanium)
    S:oredict.screwAntiGold.name=Винтик (Anti-Gold)
    S:oredict.screwAntiHafnium.name=Винтик (Anti-Hafnium)
    S:oredict.screwAntiHassium.name=Винтик (Anti-Hassium)
    S:oredict.screwAntiHolmium.name=Винтик (Anti-Holmium)
    S:oredict.screwAntiIndium.name=Винтик (Anti-Indium)
    S:oredict.screwAntiIridium.name=Винтик (Anti-Iridium)
    S:oredict.screwAntiIron.name=Винтик (Anti-Iron)
    S:oredict.screwAntiLanthanum.name=Винтик (Anti-Lanthanum)
    S:oredict.screwAntiLawrencium.name=Винтик (Anti-Lawrencium)
    S:oredict.screwAntiLead.name=Винтик (Anti-Lead)
    S:oredict.screwAntiLivermorium.name=Винтик (Anti-Livermorium)
    S:oredict.screwAntiLutetium.name=Винтик (Anti-Lutetium)
    S:oredict.screwAntiMagnesium.name=Винтик (Anti-Magnesium)
    S:oredict.screwAntiManganese.name=Винтик (Anti-Manganese)
    S:oredict.screwAntiMeitnerium.name=Винтик (Anti-Meitnerium)
    S:oredict.screwAntiMendelevium.name=Винтик (Anti-Mendelevium)
    S:oredict.screwAntiMercury.name=Винтик (Anti-Mercury)
    S:oredict.screwAntiMolybdenum.name=Винтик (Anti-Molybdenum)
    S:oredict.screwAntiNaquadah.name=Винтик (Anti-Naquadah)
    S:oredict.screwAntiNaquadahEnriched.name=Винтик (Enriched Anti-Naquadah)
    S:oredict.screwAntiNaquadria.name=Винтик (Anti-Naquadria)
    S:oredict.screwAntiNeodymium.name=Винтик (Anti-Neodymium)
    S:oredict.screwAntiNeptunium.name=Винтик (Anti-Neptunium)
    S:oredict.screwAntiNickel.name=Винтик (Anti-Nickel)
    S:oredict.screwAntiNiobium.name=Винтик (Anti-Niobium)
    S:oredict.screwAntiNobelium.name=Винтик (Anti-Nobelium)
    S:oredict.screwAntiOsmium.name=Винтик (Anti-Osmium)
    S:oredict.screwAntiPalladium.name=Винтик (Anti-Palladium)
    S:oredict.screwAntiPlatinum.name=Винтик (Anti-Platinum)
    S:oredict.screwAntiPlutonium.name=Винтик (Anti-Plutonium)
    S:oredict.screwAntiPlutonium241.name=Винтик (Anti-Plutonium-241)
    S:oredict.screwAntiPlutonium243.name=Винтик (Anti-Plutonium-243)
    S:oredict.screwAntiPolonium.name=Винтик (Anti-Polonium)
    S:oredict.screwAntiPraseodymium.name=Винтик (Anti-Praseodymium)
    S:oredict.screwAntiPromethium.name=Винтик (Anti-Promethium)
    S:oredict.screwAntiProtactinium.name=Винтик (Anti-Protactinium)
    S:oredict.screwAntiRadium.name=Винтик (Anti-Radium)
    S:oredict.screwAntiRhenium.name=Винтик (Anti-Rhenium)
    S:oredict.screwAntiRhodium.name=Винтик (Anti-Rhodium)
    S:oredict.screwAntiRoentgenium.name=Винтик (Anti-Roentgenium)
    S:oredict.screwAntiRubidium.name=Винтик (Anti-Rubidium)
    S:oredict.screwAntiRuthenium.name=Винтик (Anti-Ruthenium)
    S:oredict.screwAntiRutherfordium.name=Винтик (Anti-Rutherfordium)
    S:oredict.screwAntiSamarium.name=Винтик (Anti-Samarium)
    S:oredict.screwAntiScandium.name=Винтик (Anti-Scandium)
    S:oredict.screwAntiSeaborgium.name=Винтик (Anti-Seaborgium)
    S:oredict.screwAntiSilicon.name=Винтик (Anti-Silicon)
    S:oredict.screwAntiSilver.name=Винтик (Anti-Silver)
    S:oredict.screwAntiStrontium.name=Винтик (Anti-Strontium)
    S:oredict.screwAntiTantalum.name=Винтик (Anti-Tantalum)
    S:oredict.screwAntiTechnetium.name=Винтик (Anti-Technetium)
    S:oredict.screwAntiTellurium.name=Винтик (Anti-Tellurium)
    S:oredict.screwAntiTerbium.name=Винтик (Anti-Terbium)
    S:oredict.screwAntiThallium.name=Винтик (Anti-Thallium)
    S:oredict.screwAntiThorium.name=Винтик (Anti-Thorium)
    S:oredict.screwAntiThulium.name=Винтик (Anti-Thulium)
    S:oredict.screwAntiTin.name=Винтик (Anti-Tin)
    S:oredict.screwAntiTitanium.name=Винтик (Anti-Titanium)
    S:oredict.screwAntiTungsten.name=Винтик (Anti-Tungsten)
    S:oredict.screwAntiUnbinilium.name=Винтик (Anti-Unbinilium)
    S:oredict.screwAntiUnunennium.name=Винтик (Anti-Ununennium)
    S:oredict.screwAntiUnunoctium.name=Винтик (Anti-Ununoctium)
    S:oredict.screwAntiUnunpentium.name=Винтик (Anti-Ununpentium)
    S:oredict.screwAntiUnuntrium.name=Винтик (Anti-Ununtrium)
    S:oredict.screwAntiUranium.name=Винтик (Anti-Uranium)
    S:oredict.screwAntiUranium235.name=Винтик (Anti-Uranium-235)
    S:oredict.screwAntiVanadium.name=Винтик (Anti-Vanadium)
    S:oredict.screwAntiVibranium.name=Винтик (Anti-Vibranium)
    S:oredict.screwAntiYtterbium.name=Винтик (Anti-Ytterbium)
    S:oredict.screwAntiYttrium.name=Винтик (Anti-Yttrium)
    S:oredict.screwAntiZinc.name=Винтик (Anti-Zinc)
    S:oredict.screwAntiZirconium.name=Винтик (Anti-Zirconium)
    S:oredict.screwAntimony.name=Винтик (Antimony)
    S:oredict.screwApatite.name=Винтик (Apatite)
    S:oredict.screwApplewood.name=Винтик (Applewood)
