Axe 					- Топор
Bending Cylinder 		- Гибочный цилиндр
Branch Cutter 			- Секатор
Butchery Knife 			- Тесак
Buzzsaw 				- Циркулярная пила
Chainsaw 				- Цепная пила
Chisel 					- Долото
Club 					- Дубина
Construction Pick 		- Строительная кирка
Crowbar 				- Монтировка
Double Axe 				- Двухст.топор
File 					- Напильник
Flint and Tinder 		- Огниво
Gem tipped Pickaxe	 	- Кирка с самоцветным наконечником
Hammer 					- Молот
Hand Drill 				- Дрель
Hand Mixer 				- Ручной миксер
Hoe 					- Мотыга
JackHammer 				- Отбойный молоток
Knife 					- Нож
Magnifying Glass 		- Лупа
Mining Drill 			- Шахтерский бур
Monkey Wrench 			- Разводной ключ
Pincers 				- Клещи
Pickaxe 				- Кирка
Plow 					- Снегоуборочная лопата
Plunger 				- Вантуз
Pocket Multitool 		- Карманный мультиинструмент
Rolling Pin 			- Скалка
Saw 					- Пила
Sense 					- Коса
Scissors 				- Ножницы
Scoop 					- Сачок
Screwdriver 			- Отвертка
Shovel 					- Лопата
Small Bending Cylinder 	- Маленький гибочный цилиндр
Soft Hammer 			- Киянка
Spade 					- Совковая лопата
Sword 					- Меч
Trimmer 				- Тример
Universal Spade			- Универсальная лопата
Wire Cutter 			- Кусачки
Wrench 					- Гаечный ключ
