Axe					- Топор
Double Axe			- Двухст.топор
Arrow				- Наконечник стрелы
Bolt				- Болт
Builder's Wand		- Наконечник строительного жезла
Chisel				- Долото
Chunk				- Кусок
File				- Напильник
Gear				- Шестерня
Small Gear			- Малая шестерня
Hammer				- Молот
Hoe					- Мотыга
Ingot				- Слиток
Item Casing			- Оболочка
Long Rod			- Длинный стержень
Pickaxe				- Кирка
Plate				- Пластина
Tiny Plate			- Малая пластина
Plow				- Снегоуборочная лопата
Ring				- Кольцо
Rod					- Стержень
Saw					- Пила
Screwdriver			- Отвертка
Sense				- Коса
Shovel				- Лопата
Spade				- Совковая лопата
Universal Spade		- Универсальная лопата
Sword				- Мечь

Bottle				- Бутылка
Block				- Блок
Casing				- Оболочка
Cell				- Капсула
Tiny Pipe			- Крохотная труба
Small Pipe			- Малая труба
Normal Pipe			- Труба
Large Pipe			- Большая труба
Huge Pipe			- Огромная труба
Wire				- Провод
